Case #,Crime,Occurred (Averaged),Location
20-00739,415: PC; Disturb The Peace OABPD: Outside Assist - BPD,2020-04-01 02:19,2000 Oxford St
20-00740,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-03-31 12:12,660 Kinkead Wy
20-00741,RULES: Rules Violation,2020-03-03 17:55,2301 Bancroft Wy
20-00742,Lost Prop.: Lost Property,2020-03-21 12:00,Lake Tahoe Area CA Or NV (Rev. 09/04/18)
20-00744,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-03-15 08:20,West Crescent (Rev. 09/04/18)
20-00745,484: PC; Theft,2020-04-02 14:45,1419 South B #C
20-00746,10-42: Welfare Check,2020-04-03 18:30,525 Red Oak Ave
20-00747,602: PC; Tresspassing,2020-04-03 18:38,2339 Haste St (Rev. 09/04/18)
20-00748,594: PC; Malicious Mischief/Vandalism,2020-04-04 13:59,2400 Durant Av
20-00749,594: PC; Malicious Mischief/Vandalism,2020-04-04 14:57,Kroeber Pz (Rev. 09/04/18)
20-00750,594: PC; Malicious Mischief/Vandalism,2020-04-05 09:22,Ellsworth Parking Structure; Structure C
20-00751,594: PC; Malicious Mischief/Vandalism,2020-04-05 14:33,2301 Bancroft Wy
20-00752,594: PC; Malicious Mischief/Vandalism,2020-04-05 14:56,Hearst Mining Building
20-00753,626: Exclusion Order Issued,2020-04-05 18:49,Max Martinez (Rev. 09/04/18)
20-00754,594: PC; Malicious Mischief/Vandalism OABPD: Outside Assist - BPD,2020-04-06 11:09,Stiles Hall
20-00755,Civil: Civil Information Report,2020-04-06 12:45,Boalt Hall
20-00756,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-04-06 05:30,305 West End Wy; Uva-167 (Rev. 09/04/18)
20-00757,INFO: Information Only Report,2020-04-07 01:40,1301 S. 46th Street
20-00758,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-04-07 08:44,Barker Hall #1; Barker Hall
20-00759,602: PC; Tresspassing,2020-04-07 14:45,2537 Haste St
20-00760,484 (A): PC; Petty Theft,2020-04-07 02:30,730 Kinkead Wy; Uva-151
20-00761,Caslty: Injury/Illness,2020-04-07 15:01,Grinnell Path; Grinnell Path (Rev. 09/04/18)
20-00762,Caslty: Injury/Illness,2020-04-08 12:43,Barrows Ln NORTH Bancroft Wy
20-00763,PRODAM: Property Damage,2020-04-08 08:52,1301 S. 46th Street
20-00764,626: Exclusion Order Issued,2020-04-08 13:20,Minor Hall
20-00765,OABPD: Outside Assist - BPD,2020-04-08 15:45,Durant Av & Dana St
20-00766,Caslty: Injury/Illness,2020-04-07 12:30,6289 Madigan Rd
20-00768,148.4: PC; False Fire Alarm,2020-04-08 19:47,2537 Haste St (Rev. 09/04/18)
20-00769,594: PC; Malicious Mischief/Vandalism,2020-04-05 20:21,2301 Bancroft Wy
