Case #,Crime,Occurred (Averaged),Location,lon,lat
22-00657,Caslty: Injury/Illness,2022-04-01 01:42,2400 Durant Av,-122.260114,37.86724
22-00658,OA-VEH BURGLARY: Outside Assist - Vehicle Burglary Scanned: Add Scanned Documents to Report,2022-04-01 10:16,Hayward CA,-122.080796,37.6688205
22-00660,602 (O): PC; TRESPASS:REFUSE TO LEAVE PROPERTY,2022-04-01 13:55,Calvin Rd,-122.272863,37.8708393
22-00661,484 (A): PC; Theft Scanned: Add Scanned Documents to Report,2022-03-31 14:30,Law Building Law Building,-122.25346010910064,37.8699502
22-00662,Lost Prop.: Lost Property,2020-10-14 20:30,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
22-00663,653 M: PC; Make Annoying Telephone Calls,2021-10-25 17:22,Campus,-122.288608,37.868541
22-00664,Found Prop.: Found Property,2022-04-01 18:21,Sproul Hall,-122.25877388866844,37.8696038
22-00665,647 (J)(1): PC; Disorderly Conduct:invade Privacy W/Camera/Etc In Bathrm/Etc PC: Malicious Micheif/Vandalism,2022-04-01 20:50,2601 Warring St,-122.250147,37.864041
22-00659,415: PC; Disturbing the Peace,2022-04-01 13:20,Manville Apartments Rev 090418,-122.26702633853093,37.86564675
22-00666,OA-ROBBERY: Outside Assist - Robbery Scanned: Add Scanned Documents to Report,2022-04-02 00:10,Ridge Rd,-122.25975568136197,37.876107794985415
22-00667,211: PC; Robbery:second Degree Scanned: Add Scanned Documents to Report,2022-04-02 01:05,Dwight Wy,-122.28431535220662,37.86178476620944
22-00668,487 (A): PC; Grand Theft:money/Labor/Property Over $950 SUPP: Supplemental Reports,2022-04-01 20:50,Golden Bear Cafe Golden Bear Cafe,-122.259703,37.869831
22-00669,Caslty: Injury/Illness,2022-04-02 16:45,Zellerbach Hall,-122.26078800973944,37.8690496
22-00670,PRODAM: Property Damage,2022-04-02 18:13,2205 Piedmont Av,-122.2536120546094,37.87131674150476
22-00671,5150: WI; 72 Hour Mental Health Hold,2022-04-02 22:49,2401 Durant Av,-122.26110790700152,37.8680285
22-00672,Found Prop.: Found Property SUPP: Supplemental Reports PC; 459 - Burglary (Attempted),2022-04-02 21:31,Barrows Lane,-122.2584857382614,37.869530343119656
22-00673,242: PC; Battery,2022-04-03 02:31,2650 Haste St,-122.25600252497779,37.866474196443825
22-00674,WELFARE: Welfare Check,2022-04-03 09:17,2400 Durant Av,-122.260114,37.86724
22-00675,Caslty: Injury/Illness,2022-04-03 14:11,Memorial Glade Memorial Glade,-122.259436,37.873221
22-00676,664: PC; Attempt Crime [state Specific Crime] 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-03 04:00,425 Liberty Ship Wy,-122.272863,37.8708393
22-00677,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-03 13:00,Cheit Hall,-122.25431333014383,37.87184365
22-00678,Caslty: Injury/Illness PC; 647E - Lodging,2022-04-03 08:52,Law Building Law Building CKC Rev 090418,-122.253131,37.869752
