number,street,unit,city,postcode,lon,lat
3208,SHATTUCK AVE,,BERKELEY,94705,-122.2663665,37.8520179
6618,SHATTUCK AVE,,BERKELEY,94609,-122.2653671,37.8521466
2320,WOOLSEY ST,,BERKELEY,94705,-122.26089,37.8527626
6699,TELEGRAPH AVE,,BERKELEY,94609,-122.2605769,37.8527914
2314,WOOLSEY ST,,BERKELEY,94705,-122.2610376,37.8527293
2312,WOOLSEY ST,,BERKELEY,94705,-122.2611871,37.8527139
2308,WOOLSEY ST,,BERKELEY,94705,-122.2613367,37.8526906
2304,WOOLSEY ST,,BERKELEY,94705,-122.2614872,37.8526631
2300,WOOLSEY ST,,BERKELEY,94705,-122.2616451,37.8526641
2400,WOOLSEY ST,,BERKELEY,94705,-122.2580735,37.8530981
2420,WOOLSEY ST,,BERKELEY,94705,-122.2575786,37.8531638
3100,COLBY ST,,BERKELEY,94705,-122.2574248,37.8531842
2412,WOOLSEY ST,,BERKELEY,94705,-122.2578604,37.8531264
2418,WOOLSEY ST,,BERKELEY,94705,-122.2577237,37.8531445
6420,BENVENUE AVE,,BERKELEY,94618,-122.2530487,37.8517537
6432,BENVENUE AVE,,BERKELEY,94618,-122.2530957,37.8520478
2607,ALCATRAZ AVE,,BERKELEY,94705,-122.2530136,37.8514247
6414,BENVENUE AVE,,BERKELEY,94618,-122.2530245,37.8516025
2634,WOOLSEY ST,,BERKELEY,94705,-122.2535198,37.8536965
3101,BENVENUE AVE,,BERKELEY,94705,-122.2537136,37.8536708
6451,MYSTIC ST,,BERKELEY,94618,-122.2490552,37.8514913
6364,MYSTIC ST,,BERKELEY,94618,-122.2504047,37.85145
6300,CLAREMONT AVE,,BERKELEY,94618,-122.2505116,37.8514048
6368,MYSTIC ST,,BERKELEY,94618,-122.2502934,37.8514521
6400,MYSTIC ST,,BERKELEY,94618,-122.2501546,37.8514766
1,TANGLEWOOD RD,,BERKELEY,94705,-122.2476807,37.864327
2951,DERBY ST,,BERKELEY,94705,-122.2474224,37.8633235
29,TANGLEWOOD RD,,BERKELEY,94705,-122.2443419,37.8612492
97,STONEWALL RD,,BERKELEY,94705,-122.2444387,37.8625455
3,TANGLEWOOD RD,,BERKELEY,94705,-122.2450323,37.8625018
5,TANGLEWOOD RD,,BERKELEY,94705,-122.2446572,37.8625318
25,TANGLEWOOD RD,,BERKELEY,94705,-122.2444876,37.8615809
19,TANGLEWOOD RD,,BERKELEY,94705,-122.244719,37.8618184
7,TANGLEWOOD RD,,BERKELEY,94705,-122.2447606,37.8622761
11,TANGLEWOOD RD,,BERKELEY,94705,-122.2446845,37.8620962
,TUNNEL RD,,BERKELEY,94705,-122.2416718,37.8573382
41,TUNNEL RD,,BERKELEY,94705,-122.2427409,37.857811
59,ALVARADO RD,,BERKELEY,94705,-122.241041,37.8573728
617,ALVARADO RD,,BERKELEY,94705,-122.238848,37.8575216
111,ALVARADO RD,,BERKELEY,94705,-122.2395237,37.8574745
290,ALVARADO RD,,BERKELEY,94705,-122.2379322,37.857538
256,ALVARADO RD,,BERKELEY,94705,-122.2363218,37.8575623
1318,67TH ST,,BERKELEY,94702,-122.2920242,37.8493532
1482,67TH ST,,BERKELEY,94702,-122.2935834,37.8490285
1482,67TH ST,,BERKELEY,94702,-122.2934661,37.8490226
1320,67TH ST,,BERKELEY,94702,-122.2921505,37.8492905
1318,67TH ST,,BERKELEY,94702,-122.2920393,37.8493127
1320,67TH ST,,BERKELEY,94702,-122.292183,37.8493134
3045A,SHATTUCK AVE,,BERKELEY,94705,-122.2660088,37.8537116
3045B,SHATTUCK AVE,,BERKELEY,94705,-122.2660088,37.8537116
3045C,SHATTUCK AVE,,BERKELEY,94705,-122.2660088,37.8537116
2139,PRINCE ST,,BERKELEY,94705,-122.2643586,37.8535684
3052,WHEELER ST,,BERKELEY,94705,-122.2643586,37.8535684
3054,WHEELER ST,,BERKELEY,94705,-122.2643586,37.8535684
2118,ESSEX ST,,BERKELEY,94705,-122.2652198,37.8537426
2115,PRINCE ST,,BERKELEY,94705,-122.265388,37.8534366
2125,PRINCE ST,,BERKELEY,94705,-122.2651393,37.8534695
2130,ESSEX ST,,BERKELEY,94705,-122.2649419,37.8537784
2108,ESSEX ST,,BERKELEY,94705,-122.2657739,37.8537338
2136,ESSEX ST,,BERKELEY,94705,-122.2645515,37.8538299
3051,SHATTUCK AVE,,BERKELEY,94705,-122.2659772,37.8535119
2131,PRINCE ST,,BERKELEY,94705,-122.2648263,37.8535082
3049,SHATTUCK AVE,,BERKELEY,94705,-122.2659918,37.853603
2135,PRINCE ST,,BERKELEY,94705,-122.2646489,37.8535297
2127,PRINCE ST,,BERKELEY,94705,-122.2649947,37.8534871
2110,ESSEX ST,,BERKELEY,94705,-122.2656507,37.8536871
3045,SHATTUCK AVE,,BERKELEY,94705,-122.2660088,37.8537116
2112,ESSEX ST,,BERKELEY,94705,-122.2655384,37.8537011
2116,ESSEX ST,,BERKELEY,94705,-122.2653926,37.8537205
2107,PRINCE ST,,BERKELEY,94705,-122.2657263,37.8533855
2109,PRINCE ST,,BERKELEY,94705,-122.2656305,37.8533375
